experiment_id,datetime_utc,git_commit,parent,hypothesis,primary_metrics,fps,status,notes_path
EXP-0001,2026-08-18T21:36:06Z,10c413c,,Classical processing yields conservative real proxy labels,90/144 accepted; 0/24 gross visual failures,,ACCEPT_LIMITED,experiments/exp_0001_classical_proxy/notes.md
EXP-0002,2026-08-18T21:36:06Z,10c413c,,Analytic rendering supports exact controlled crop truth,6400/6400 crops valid; 3.41e-13 px max round trip,,ACCEPT,experiments/exp_0002_synthetic_crop/notes.md
EXP-0003,2026-08-18T22:03:55Z,06df23d,EXP-0001,Real proxy frames support exact texture-preserving camera crops,0/90 complete; 65/900 valid; 0 px round trip,,REJECT,experiments/exp_0003_real_texture_crop/notes.md
EXP-0004,2026-08-18T22:03:55Z,eaba5e9,EXP-0001+EXP-0002,Intrinsic representation improves proposal angle fidelity,fold2 intrinsic 116.92 px median and 23.35 deg mean; coordinate topology failure,2320,REJECT,experiments/exp_0004_representation/notes.md
EXP-0005,2026-08-18T22:18:00Z,6fe836a,EXP-0003,Variable isotropic real camera windows recover the strict crop benchmark,14/90 complete; 720/900 valid; 5.68e-14 px max resized round trip,,REJECT,experiments/exp_0005_scaled_real_crop/notes.md
EXP-0006,2026-08-18T22:27:15Z,6c87cdc,EXP-0005,Balanced valid conditions provide an auditable real-texture crop benchmark,300/300 cases; 10/cell; 5.68e-14 px max round trip,,ACCEPT,experiments/exp_0006_balanced_real_crop/notes.md
EXP-0007,2026-08-18T23:45:20Z,a886a31,EXP-0004,Increasing intrinsic encoder spatial resolution rescues proposal localization,fold2 Tier C 87.54 px median and 27.68 deg mean; candidate 83.95 px and 61.00 deg; systematic topology failure,2461,PRIMARY_FOLD_FAIL,experiments/exp_0007_spatial_rescue/notes.md
EXP-001,2026-08-19T18:45:00Z,worktree,,Human disagreement defines a meaningful accuracy target,30/30 primary traces validated; 17 complete 12 truncated 1 not identifiable; 0/10 delayed repeats,,PRIMARY_COMPLETE_REPEATABILITY_PENDING,experiments/scientific_exp_001_annotation/notes.md
EXP-002-P30,2026-08-19T19:00:00Z,worktree,EXP-001,Existing image-aligned methods outperform the rejected global regressor on common Tier-A labels,classical 14/30 accepted and 12.12 px conditional median; rejected global model 80.87 px median,,PARTIAL_BASELINE_COMPLETE,experiments/scientific_exp_002_primary30_baselines/notes.md
EXP-003,2026-08-19T19:03:47Z,worktree,EXP-001+EXP-002-P30+EXP-005-P17,Spatially explicit models improve localization when data and budget are paired,9 paired runs; complete seed-median medians global 72.36 px dense 83.10 px anchored 113.22 px; spatial gates 0/3,,COMPLETE_REJECT_IMPLEMENTATIONS,experiments/scientific_exp_003_localization/notes.md
EXP-003B,2026-08-19T20:08:25Z,worktree,EXP-003,A soft spatial anchor and one intrinsic curve rescue localization without topology or hard-cell mismatch,primary held-out Tier-C gate 61.99 px 25.77 deg 0.34 length error; all three gates failed,,PRIMARY_CONTROLLED_GATE_FAIL,experiments/scientific_exp_003b_topology_rescue/notes.md
EXP-004,2026-08-19T20:23:18Z,worktree,EXP-003B,Analytic diversity at 5k scale lets the topology-safe model pass the frozen controlled gate,primary held-out Tier-C gate 46.64 px 25.17 deg 0.261 length error; all three gates failed,,ANALYTIC_5K_PRIMARY_CONTROLLED_GATE_FAIL,experiments/scientific_exp_004_synthetic_realism/notes.md
EXP-005-P17,2026-08-19T19:05:00Z,worktree,EXP-001,A compact intrinsic representation preserves manual-trace geometry,spline16 0.70 px and 3.31 deg; cosine16 0.67 px and 3.36 deg; PCA8 LORO 3.10 px,,SUPPORTED_ORACLE_ONLY,experiments/scientific_exp_005_representation_oracle_primary17/notes.md
EXP-008,2026-08-19T14:48:42Z,worktree,EXP-001,Differentiable rendering has a measurable local capture basin,8 Tier-C poses; 29 perturbations; raw-pixel 48.71% grid success and 4.16 px median final error,,PARTIALLY_SUPPORTED,experiments/scientific_exp_008_refinement_capture_basin_tuned_n8/notes.md
EXP-SMC-000,2026-08-19T00:00:00Z,worktree,,Bounded raw visual screening identifies development hard-bout candidates,6 candidate windows; 5 bracketed by sparse legacy proxy anchors,,CATALOG_ONLY,experiments/exp_smc_000_natural_hard_bout_catalog/notes.md
EXP-SMC-001,2026-08-19T00:00:00Z,worktree,EXP-001,Classical soft foreground retains sufficient worm material for mask-space inference,trace containment median/p10 0.980/0.958; terminal containment 0.800; soft trace score 0.738,,NOT_SUPPORTED,experiments/exp_smc_001_segmentation_baseline/notes.md
EXP-SMC-002,2026-08-19T00:00:00Z,worktree,EXP-SMC-001,Simple cleaned masks yield highly reliable full-body classical anchors,10/30 accepted; complete median 6.756 px; 6/7 within 8 px; truncated rejection 9/12,,NOT_SUPPORTED,experiments/exp_smc_002_mask_anchors/notes.md
EXP-SMC-001B,2026-08-19T00:00:00Z,worktree,EXP-SMC-001,Connected low-threshold growth recovers dim anatomical terminals safely,terminal containment remained 0.800; recovered area median/p95 0.97%/2.20%,,NOT_SUPPORTED,experiments/exp_smc_001b_hysteresis_terminal_recovery/notes.md
EXP-SMC-002B,2026-08-19T00:00:00Z,worktree,EXP-SMC-001B+EXP-SMC-002,Width-relative FOV clearance prevents false complete anchors,3/30 accepted; 12/12 truncated rejected; only 2/3 complete within 8 px,,NOT_SUPPORTED,experiments/exp_smc_002b_width_relative_fov/notes.md
EXP-SMC-002C,2026-08-19T00:00:00Z,worktree,EXP-SMC-002B,Expert visual adjudication can authorize bounded development continuation without rewriting frozen metrics,"30/30 rows bound; 28 development adequate, 1 annotation mistake, 1 expected SMC-hard case",,COMPLETE_DEVELOPMENT_CONTINUATION_AUTHORIZED,experiments/exp_smc_002c_expert_visual_adjudication/notes.md
EXP-SMC-002D,2026-08-19T00:00:00Z,worktree,EXP-SMC-002C,Strict anchors are sufficiently dense and contiguous across all development sessions for empirical dynamics fitting,"87/303 accepted; session densities 22/101, 58/101, 7/101; adjacent pairs 7/45/0",0.396,STATIC_POSTURE_EXTRACTION_FEASIBLE__SESSION_GENERAL_DYNAMICS_NOT_FEASIBLE,experiments/exp_smc_002d_contiguous_anchor_density/notes.md
EXP-SMC-003,2026-08-19T00:00:00Z,52c8047e,EXP-SMC-002C,A compact intrinsic tangent representation reconstructs complete easy-frame traces below oracle tolerances,"cubic K16: 0.697/1.074 px median/p95; 3.305/4.307 deg median/p95",,SUPPORTED_ORACLE_ONLY,experiments/exp_smc_003_latent_representation/notes.md
EXP-SMC-004,2026-08-19T00:00:00Z,worktree,EXP-SMC-002B+EXP-SMC-003,A simple recording-level width model preserves proxy mask geometry without absorbing pose error,"bounded-scale IoU 0.8663; PCA2 gain 0.00038; 10 px shift IoU drop 0.2041; scale SD 0.0245",,COMPLETED_SUPPORTED_PROXY_ONLY,experiments/exp_smc_004_width_model/notes.md
EXP-SMC-005,2026-08-19T00:00:00Z,worktree,EXP-SMC-003+EXP-SMC-004,A soft-Dice mask observation energy has a useful local controlled pose basin,"64/64 near-zero minima; outward monotonicity 0.9714; batch-32 7.914 ms",,COMPLETED_SUPPORTED_ENERGY_SHAPE_ONLY,experiments/exp_smc_005_observation_energy/notes.md
EXP-SMC-006,2026-08-19T00:00:00Z,worktree,EXP-SMC-002D+EXP-SMC-003,Strict-anchor runs support a session-general learned transition that outpredicts persistence,"adjacent pairs 7/45/0; paired n=40 persistence 3.572 px vs best diagnostic 4.484 px; no horizon-20 cases",,COMPLETED_NOT_SUPPORTED_SESSION_GENERAL,experiments/exp_smc_006_dynamics_predictability/notes.md
EXP-SMC-007,2026-08-19T00:00:00Z,52c8047e,EXP-SMC-003+EXP-SMC-004+EXP-SMC-005+EXP-SMC-006,Controlled SMC recovers renderer-matched synthetic random walks and terminal anchoring generally improves reconstruction,"nominal forward/reweighted 2.19/1.95 px; truth survival 1.00; interpolation best 6/6; reweighting improved 2/6",,SUPPORTED_CONTROLLED_SYNTHETIC_ONLY,experiments/exp_smc_007_controlled_smc/notes.md
EXP-SMC-008A,2026-08-19T00:00:00Z,worktree,EXP-SMC-002C+EXP-SMC-002D+EXP-SMC-007,The expert-adjudicated natural row-22 hard case has a strict two-anchor bracket within 20 frames,"0/201 accepted in frames 13685-13885; no anchor before or after; one 201-frame rejected gap",0.356,NO_BOUNDED_STRICT_ANCHOR_BRACKET,experiments/exp_smc_008a_row22_anchor_bracket/notes.md
